year,co2,ch4,n2o
2170,1619.4189,3577.3804,504.979
2171,1627.9283,3574.7354,505.59781
2172,1636.3423,3572.209,506.20554
2173,1644.6544,3569.7719,506.80229
2174,1652.8621,3567.404,507.38816
2175,1660.9472,3564.9323,507.96326
2176,1668.8714,3562.2328,508.52769
2177,1676.6491,3559.4204,509.08154
2178,1684.3479,3556.6198,509.62491
2179,1691.9855,3553.935,510.1579
2180,1699.5543,3551.4703,510.6806
2181,1707.0542,3549.2396,511.19312
2182,1714.4671,3547.1764,511.69554
2183,1721.7857,3545.2234,512.18796
2184,1728.9986,3543.3509,512.67047
2185,1736.073,3541.5386,513.14316
2186,1743.0204,3539.6146,513.60612
2187,1749.8272,3537.4557,514.05945
2188,1756.4845,3535.1761,514.50323
2189,1763.0469,3532.9015,514.93756
2190,1769.542,3530.7365,515.36251
2191,1775.972,3528.7856,515.77818
2192,1782.3281,3527.0624,516.18465
2193,1788.5985,3525.5001,516.58201
2194,1794.7605,3524.0409,516.97035
2195,1800.7999,3522.655,517.34973
2196,1806.7334,3521.3221,517.72026
2197,1812.5201,3519.8709,518.08201
2198,1818.1423,3518.1791,518.43506
2199,1823.6498,3516.3611,518.77949
2200,1829.0556,3514.5423,519.11539
